AgArea,Station_ID,Station_Description,DECIMAL_LAT,DECIMAL_LONG,pH_benuse,pH_low,pH_high,DO_use,DO_criteria,ZDADM,Temp_Benuse,spwn_time,Comments
Upper Deschutes,25566,Hemlock Creek  downstream of NFS Road 5830,43.36094,-121.8293,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,12,Bull Trout Spawning and Juvenile Rearing,No spawning,
Upper Deschutes,25836,Deschutes River upstream of Crane Prairie Reservoir,43.81327,-121.7767,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,12,Bull Trout Spawning and Juvenile Rearing,No spawning,
Upper Deschutes,25837,Deschutes River downstream of Crane Prairie Reservoir at Hwy 42,43.74478,-121.7824,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,12,Bull Trout Spawning and Juvenile Rearing,No spawning,
Upper Deschutes,29407,Deschutes River at Meadow Camp,44.0009,-121.379,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Upper Deschutes,31837,Little Deschutes River at OWRD Gauge near La Pine,43.68918,-121.5029,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Upper Deschutes,35633,Whychus CR NF AT MOUTH,44.16558,-121.6744,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Upper Deschutes,37746,Little Deschute at USFS Rd 100 (bridge out),43.44984,-121.7721,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Upper Deschutes,37749,Little Deschutes River at Dorance Meadow Rd.,43.67268,-121.5475,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Upper Deschutes,37750,Little Deschutes at Timber Lane Access (ODFW),43.72038,-121.4905,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Upper Deschutes,37753,Little Deschutes River at Bridge Drive/Lazy River Bridge Access (ODFW),43.75457,-121.4864,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
